t,led,rgb
1.362808416666667,5,#00ff00
1.362838416666667,6,#00ff00
1.362868416666667,7,#00ff00
1.362898500000000,8,#00ff00
1.362928500000000,9,#00ff00
1.362958500000000,10,#00ff00
1.362988500000000,11,#00ff00
1.363018500000000,12,#00ff00
1.413106750000000,0,#0000ff
1.413136833333333,1,#0000ff
1.413166833333333,2,#0000ff
1.413197333333333,3,#00ff00
1.413227333333333,4,#00ff00
1.413257333333333,5,#00ff00
1.413287416666667,6,#00ff00
1.413317416666667,7,#00ff00
1.413347416666667,8,#00ff00
1.413377416666667,9,#00ff00
1.413407416666667,10,#00ff00
1.413437416666667,11,#00ff00
1.413467500000000,12,#00ff00
1.463556250000000,0,#0000ff
1.463586333333333,1,#0000ff
1.463616333333333,2,#0000ff
1.463646333333333,3,#0000ff
1.463676833333333,4,#00ff00
1.463706833333333,5,#00ff00
1.463736916666667,6,#00ff00
1.463766916666667,7,#00ff00
1.463796916666667,8,#00ff00
1.463826916666667,9,#00ff00
1.463856916666667,10,#00ff00
1.463887000000000,11,#00ff00
1.463917000000000,12,#00ff00
1.514001833333333,0,#0000ff
1.514031833333333,1,#0000ff
1.514061833333333,2,#0000ff
1.514091833333333,3,#0000ff
1.514121833333333,4,#0000ff
1.514152416666667,5,#00ff00
1.514182416666667,6,#00ff00
1.514212416666667,7,#00ff00
1.514242416666667,8,#00ff00
1.514272416666667,9,#00ff00
1.514302416666667,10,#00ff00
1.514332500000000,11,#00ff00
1.514362500000000,12,#00ff00
1.564461000000000,0,#0000ff
1.564491000000000,1,#0000ff
1.564521000000000,2,#0000ff
1.564551083333333,3,#0000ff
1.564581083333333,4,#0000ff
1.564611083333333,5,#0000ff
1.564641583333333,6,#00ff00
1.564671583333333,7,#00ff00
1.564701666666667,8,#00ff00
1.564731666666667,9,#00ff00
1.564761666666667,10,#00ff00
1.564791666666667,11,#00ff00
1.564821666666667,12,#00ff00
1.614909750000000,0,#0000ff
1.614939750000000,1,#0000ff
1.614969833333333,2,#0000ff
1.614999833333333,3,#0000ff
1.615029833333333,4,#0000ff
1.615059833333333,5,#0000ff
1.615089833333333,6,#0000ff
1.615120333333333,7,#00ff00
1.615150416666667,8,#00ff00
1.615180416666667,9,#00ff00
1.615210416666667,10,#00ff00
1.615240416666667,11,#00ff00
1.615270416666667,12,#00ff00
1.665358083333333,0,#0000ff
1.665388083333333,1,#0000ff
1.665418083333333,2,#0000ff
1.665448166666667,3,#0000ff
1.665478166666667,4,#0000ff
1.665508166666667,5,#0000ff
1.665538166666667,6,#0000ff
1.665568166666667,7,#0000ff
1.665598750000000,8,#00ff00
1.665628750000000,9,#00ff00
1.665658750000000,10,#00ff00
1.665688750000000,11,#00ff00
1.665718750000000,12,#00ff00
1.715807916666667,0,#0000ff
1.715837916666667,1,#0000ff
1.715867916666667,2,#0000ff
1.715897916666667,3,#0000ff
1.715928000000000,4,#0000ff
1.715958000000000,5,#0000ff
1.715988000000000,6,#0000ff
1.716018000000000,7,#0000ff
1.716048000000000,8,#0000ff
1.716078583333333,9,#00ff00
1.716108583333333,10,#00ff00
1.716138583333333,11,#00ff00
1.716168583333333,12,#00ff00
1.766262083333333,0,#0000ff
1.766292083333333,1,#0000ff
1.766322083333333,2,#0000ff
1.766352083333333,3,#0000ff
1.766382083333333,4,#0000ff
1.766412083333333,5,#0000ff
1.766442166666667,6,#0000ff
1.766472166666667,7,#0000ff
1.766502166666667,8,#0000ff
1.766532166666667,9,#0000ff
1.766562666666667,10,#00ff00
1.766592750000000,11,#00ff00
1.766622750000000,12,#00ff00
1.816718083333333,0,#0000ff
1.816748083333333,1,#0000ff
1.816778083333333,2,#0000ff
1.816808083333333,3,#0000ff
1.816838083333333,4,#0000ff
1.816868166666667,5,#0000ff
1.816898166666667,6,#0000ff
1.816928166666667,7,#0000ff
1.816958166666667,8,#0000ff
1.816988166666667,9,#0000ff
1.817018250000000,10,#0000ff
1.817048750000000,11,#00ff00
1.817078750000000,12,#00ff00
1.867166666666667,0,#0000ff
1.867196666666667,1,#0000ff
1.867226666666667,2,#0000ff
1.867256666666667,3,#0000ff
1.867286666666667,4,#0000ff
1.867316750000000,5,#0000ff
1.867346750000000,6,#0000ff
1.867376750000000,7,#0000ff
1.867406750000000,8,#0000ff
1.867436750000000,9,#0000ff
1.867466833333333,10,#0000ff
1.867496833333333,11,#0000ff
1.867527333333333,12,#00ff00
1.917616166666667,0,#0000ff
1.917646166666667,1,#0000ff
1.917676166666667,2,#0000ff
1.917706166666667,3,#0000ff
1.917736166666667,4,#0000ff
1.917766250000000,5,#0000ff
1.917796250000000,6,#0000ff
1.917826250000000,7,#0000ff
1.917856250000000,8,#0000ff
1.917886250000000,9,#0000ff
1.917916333333333,10,#0000ff
1.917946333333333,11,#0000ff
1.917976333333333,12,#0000ff
1.968118916666667,0,#7f7f7f
1.968148916666667,1,#0000ff
1.968179000000000,2,#0000ff
1.968209000000000,3,#7f7f7f
1.968239000000000,4,#0000ff
1.968269000000000,5,#0000ff
1.968299000000000,6,#7f7f7f
1.968329083333333,7,#0000ff
1.968359083333333,8,#0000ff
1.968389083333333,9,#7f7f7f
1.968419083333333,10,#0000ff
1.968449083333333,11,#0000ff
1.968479083333333,12,#7f7f7f
2.018635583333333,0,#000000
2.018665583333333,1,#7f7f7f
2.018695583333333,2,#0000ff
2.018725583333334,3,#000000
2.018755583333333,4,#7f7f7f
2.018785666666667,5,#0000ff
2.018815666666667,6,#000000
2.018845666666667,7,#7f7f7f
2.018875666666667,8,#0000ff
2.018905666666666,9,#000000
2.018935666666667,10,#7f7f7f
2.018965750000000,11,#0000ff
2.018995750000000,12,#000000
2.069152000000000,0,#000000
2.069182000000000,1,#000000
2.069212083333333,2,#7f7f7f
2.069242083333333,3,#000000
2.069272083333333,4,#000000
2.069302083333334,5,#7f7f7f
2.069332083333333,6,#000000
2.069362166666667,7,#000000
2.069392166666667,8,#7f7f7f
2.069422166666667,9,#000000
2.069452166666667,10,#000000
2.069482166666667,11,#7f7f7f
2.069512250000000,12,#000000
2.119676833333333,0,#7f7f7f
2.119706916666667,1,#000000
2.119736916666667,2,#000000
2.119766916666667,3,#7f7f7f
2.119796916666667,4,#000000
2.119826916666667,5,#000000
2.119857000000000,6,#7f7f7f
2.119887000000000,7,#000000
2.119917000000000,8,#000000
2.119947000000000,9,#7f7f7f
2.119977000000000,10,#000000
2.120007083333333,11,#000000
2.120037083333334,12,#7f7f7f
2.170203666666667,0,#000000
2.170233666666667,1,#7f7f7f
2.170263666666667,2,#000000
2.170293750000000,3,#000000
2.170323750000000,4,#7f7f7f
2.170353750000000,5,#000000
2.170383750000000,6,#000000
2.170413750000000,7,#7f7f7f
2.170443750000000,8,#000000
2.170473833333333,9,#000000
2.170503833333334,10,#7f7f7f
2.170533833333333,11,#000000
2.170563833333333,12,#000000
2.220720416666667,0,#000000
2.220750416666667,1,#000000
2.220780416666666,2,#7f7f7f
2.220810416666667,3,#000000
2.220840416666667,4,#000000
2.220870500000000,5,#7f7f7f
